path	line	markers
client/src/customer/useCustomerSession.test.tsx	417	INTERNAL
client/src/customer/useCustomerSession.ts	627	INTERNAL
client/src/customerApi.test.ts	188	internal
client/src/internalBillingApi.test.ts	12	Internal
client/src/internalBillingApi.test.ts	21	internal
client/src/internalBillingApi.test.ts	23	Internal
client/src/internalBillingApi.test.ts	29	internal,Internal
client/src/internalBillingApi.test.ts	36	internal
client/src/internalBillingApi.test.ts	56	internal
client/src/internalBillingApi.test.ts	68	internal,Internal
client/src/internalBillingApi.test.ts	76	internal
client/src/internalBillingApi.test.ts	87	Internal
client/src/internalBillingApi.test.ts	88	DEV_USER
client/src/studio/LiveWorkspacePanel.tsx	180	内部
deploy/customer.env.example	4	sqlite
deploy/customer.env.example	5	CONTROL_PROXY,CONTROL_ADMIN_USER
deploy/customer.env.example	7	DESKTOP_USER
deploy/customer.env.example	68	SQLite,内部
deploy/customer.env.example	71	单机
deploy/customer.env.example	85	内部
deploy/internal-p0.env.example	1	internal
deploy/internal-p0.env.example	6	internal
deploy/internal-p0.env.example	8	DESKTOP_USER
deploy/internal-p0.env.example	15	CONTROL_PROXY
deploy/internal-p0.env.example	16	CONTROL_ADMIN_USER
deploy/internal-p0.env.example	20	internal
deploy/nginx/customer.conf.example	98	internal
deploy/nginx/customer.conf.example	110	internal
deploy/nginx/internal-p0.conf.example	1	Internal
deploy/nginx/internal-p0.conf.example	6	internal
deploy/nginx/internal-p0.conf.example	12	internal
deploy/nginx/internal-p0.conf.example	14	internal
deploy/nginx/internal-p0.conf.example	15	internal
deploy/nginx/internal-p0.conf.example	67	Internal
deploy/nginx/internal-p0.conf.example	80	Internal
deploy/postgres/README.md	81	internal,SQLite
deploy/postgres/migrate.sh	21	SQLite
deploy/systemd/video-replica-api.service	2	internal
deploy/systemd/video-replica-api.service	11	internal
deploy/systemd/video-replica-backup.service	1	Internal,SQLite
deploy/systemd/video-replica-backup.service	3	SQLite
deploy/systemd/video-replica-backup.timer	1	Internal,SQLite
deploy/systemd/video-replica-backup.timer	3	SQLite
deploy/systemd/video-replica-worker.service	2	internal
deploy/systemd/video-replica-worker.service	11	internal
scripts/customer_release_preflight.py	18	DEV_AUTH
scripts/customer_release_preflight.py	64	DEV_AUTH
scripts/customer_release_preflight.py	73	DESKTOP_USER
scripts/customer_release_preflight.py	74	DESKTOP_USER
scripts/p0_acceptance_evidence.py	68	internal
scripts/p0_acceptance_evidence.py	96	内部
scripts/p0_acceptance_evidence.py	171	internal
scripts/p0_acceptance_evidence.py	176	internal
server/app/activation_code_routes.py	41	internal,SQLite
server/app/activation_code_routes.py	830	SQLite
server/app/activation_code_routes.py	831	internal
server/app/admin_activation_routes.py	202	internal
server/app/admin_audit_routes.py	17	SQLite
server/app/admin_auth_routes.py	11	internal
server/app/admin_auth_routes.py	744	internal,SQLite
server/app/admin_customer_routes.py	24	internal
server/app/admin_customer_routes.py	28	internal,INTERNAL
server/app/admin_customer_routes.py	34	SQLite
server/app/admin_customer_routes.py	82	sqlite
server/app/admin_customer_routes.py	83	internal,SQLite
server/app/admin_customer_routes.py	150	INTERNAL
server/app/admin_customer_routes.py	161	INTERNAL
server/app/admin_customer_routes.py	232	internal
server/app/admin_customer_routes.py	258	internal
server/app/admin_customer_routes.py	456	internal
server/app/admin_customer_routes.py	464	internal
server/app/admin_customer_routes.py	981	sqlite
server/app/admin_rate_routes.py	12	SQLite
server/app/admin_runtime_routes.py	4	internal
server/app/admin_runtime_routes.py	5	internal
server/app/admin_runtime_routes.py	16	SQLite
server/app/admin_runtime_routes.py	80	internal
server/app/admin_runtime_routes.py	82	internal
server/app/admin_runtime_routes.py	103	internal
server/app/admin_runtime_routes.py	112	internal
server/app/admin_session_routes.py	7	SQLite
server/app/admin_write_contract.py	298	internal,SQLite
server/app/analysis.py	6	sqlite
server/app/analysis.py	561	sqlite
server/app/analysis.py	584	sqlite
server/app/analysis.py	620	sqlite
server/app/analysis.py	632	sqlite
server/app/analysis.py	652	sqlite
server/app/analysis.py	655	sqlite
server/app/analysis.py	702	sqlite
server/app/analysis.py	721	sqlite
server/app/analysis.py	731	sqlite
server/app/analysis.py	741	sqlite
server/app/analysis.py	802	sqlite
server/app/analysis.py	831	sqlite
server/app/analysis.py	843	sqlite
server/app/analysis_routes.py	4	sqlite
server/app/analysis_routes.py	559	sqlite
server/app/analysis_routes.py	899	sqlite
server/app/analysis_routes.py	903	sqlite
server/app/analysis_routes.py	906	sqlite
server/app/analysis_routes.py	954	sqlite
server/app/analysis_routes.py	971	sqlite
server/app/asr.py	103	内部
server/app/asr.py	341	internal
server/app/auth.py	18	DESKTOP_USER
server/app/auth.py	47	SQLite
server/app/auth.py	48	internal
server/app/auth.py	72	sqlite
server/app/auth.py	102	internal
server/app/auth.py	104	internal
server/app/auth.py	108	internal
server/app/auth.py	109	internal
server/app/auth.py	111	Internal
server/app/auth.py	113	internal
server/app/auth.py	114	internal
server/app/auth.py	118	internal
server/app/auth.py	119	internal
server/app/auth.py	120	internal
server/app/auth.py	122	internal
server/app/auth.py	129	internal
server/app/auth.py	135	internal
server/app/auth.py	139	internal
server/app/auth.py	199	internal
server/app/auth.py	212	internal
server/app/auth.py	222	DESKTOP_USER
server/app/auth.py	259	desktop_user,DESKTOP_USER
server/app/auth.py	260	desktop_user
server/app/auth.py	261	desktop_user
server/app/auth.py	268	internal
server/app/auth.py	272	DESKTOP_USER
server/app/backup.py	6	sqlite
server/app/backup.py	20	SQLite
server/app/backup.py	49	sqlite
server/app/backup.py	58	SQLite
server/app/backup.py	62	SQLite
server/app/backup.py	67	sqlite
server/app/backup.py	71	SQLite
server/app/backup.py	93	SQLite
server/app/backup.py	99	sqlite
server/app/backup.py	100	sqlite
server/app/backup.py	106	sqlite
server/app/backup.py	135	SQLite
server/app/backup.py	147	sqlite
server/app/backup.py	151	sqlite
server/app/backup.py	168	SQLite
server/app/backup.py	203	sqlite
server/app/backup.py	209	SQLite
server/app/backup.py	222	SQLite
server/app/backup.py	246	SQLite
server/app/backup.py	316	sqlite
server/app/backup.py	319	sqlite
server/app/backup.py	339	sqlite
server/app/backup.py	341	sqlite
server/app/backup.py	369	sqlite
server/app/backup.py	373	SQLite,sqlite
server/app/backup.py	377	SQLite
server/app/bootstrap.py	64	CONTROL_PROXY,CONTROL_ADMIN_USER
server/app/bootstrap.py	65	DEV_AUTH
server/app/bootstrap.py	244	internal
server/app/bootstrap.py	257	DEV_AUTH
server/app/bootstrap.py	266	DESKTOP_USER
server/app/bootstrap.py	268	DESKTOP_USER
server/app/bootstrap.py	435	internal
server/app/bootstrap.py	446	internal
server/app/bootstrap.py	528	sqlite
server/app/bootstrap.py	544	internal,SQLite
server/app/bootstrap.py	581	SQLite
server/app/bootstrap.py	605	SQLite
server/app/bootstrap.py	610	sqlite
server/app/character_asset_review.py	6	sqlite
server/app/character_asset_review.py	509	sqlite
server/app/character_asset_review.py	569	sqlite
server/app/character_asset_review.py	635	sqlite
server/app/character_asset_review.py	647	sqlite
server/app/character_asset_review.py	656	sqlite
server/app/character_asset_review.py	663	sqlite
server/app/character_asset_review.py	679	sqlite
server/app/character_asset_review.py	715	sqlite
server/app/character_identity.py	8	sqlite
server/app/character_identity.py	1007	sqlite
server/app/character_identity.py	1278	sqlite
server/app/character_identity.py	1285	sqlite
server/app/character_identity.py	1288	sqlite
server/app/character_identity.py	1295	sqlite
server/app/character_identity.py	1298	sqlite
server/app/character_identity.py	1305	sqlite
server/app/character_identity.py	1308	sqlite
server/app/character_identity.py	1333	sqlite
server/app/character_identity.py	1352	sqlite
server/app/character_identity.py	1405	sqlite
server/app/character_identity.py	1419	sqlite
server/app/character_identity.py	1426	sqlite
server/app/character_identity.py	1435	sqlite
server/app/character_identity.py	1444	sqlite
server/app/character_identity.py	1449	sqlite
server/app/character_identity.py	1453	sqlite
server/app/character_identity.py	1458	sqlite
server/app/character_identity.py	1512	sqlite
server/app/character_identity.py	1547	sqlite
server/app/character_identity.py	1594	sqlite
server/app/character_identity.py	1633	sqlite
server/app/character_identity.py	1744	sqlite
server/app/character_image_generation.py	5	sqlite
server/app/character_image_generation.py	277	sqlite
server/app/character_image_generation.py	340	sqlite
server/app/character_image_generation.py	475	sqlite
server/app/character_image_generation.py	517	sqlite
server/app/character_image_generation.py	576	sqlite
server/app/character_image_generation.py	821	sqlite
server/app/character_image_generation.py	867	sqlite
server/app/character_image_generation.py	868	sqlite
server/app/character_image_generation.py	890	sqlite
server/app/character_image_generation.py	935	sqlite
server/app/character_image_generation.py	1018	sqlite
server/app/character_image_generation.py	1056	sqlite
server/app/character_image_generation.py	1092	sqlite
server/app/character_image_generation.py	1178	sqlite
server/app/character_image_generation.py	1200	sqlite
server/app/character_image_generation.py	1233	sqlite
server/app/character_image_generation.py	1260	sqlite
server/app/character_image_generation.py	1279	sqlite
server/app/character_image_generation.py	1281	sqlite
server/app/character_image_generation.py	1294	sqlite
server/app/character_image_generation.py	1306	sqlite
server/app/character_image_generation.py	1335	sqlite
server/app/character_policy.py	6	internal,INTERNAL,内部
server/app/character_policy.py	64	INTERNAL
server/app/character_reference_matching.py	6	sqlite
server/app/character_reference_matching.py	176	sqlite
server/app/character_reference_matching.py	459	sqlite
server/app/character_reference_matching.py	474	sqlite
server/app/character_reference_matching.py	480	sqlite
server/app/character_reference_matching.py	499	sqlite
server/app/character_reference_matching.py	502	sqlite
server/app/character_reference_matching.py	633	sqlite
server/app/character_reference_matching.py	643	sqlite
server/app/character_reference_matching.py	650	sqlite
server/app/character_reference_matching.py	661	sqlite
server/app/character_reference_matching.py	664	sqlite
server/app/character_reference_matching.py	676	sqlite
server/app/characters.py	5	sqlite
server/app/characters.py	594	sqlite
server/app/control_auth.py	13	CONTROL_PROXY
