文件,行号,组件,静态标签,处理函数及属性
client/src/studio/StudioWorkspace.tsx,927,button,,"{""type"": ""\""button\"""", ""aria-label"": ""\""展开导航\"""", ""className"": ""\""studio-menu-button\"""", ""onClick"": ""{() => setMenuOpen((value) => !value)}""}"
client/src/studio/StudioWorkspace.tsx,942,input,,"{""aria-label"": ""\""搜索工作区\"""", ""placeholder"": ""\""搜索乡墅视频、文案、人物、素材\"""", ""value"": ""{search}"", ""onChange"": ""{(event) => setSearch(event.target.value)}""}"
client/src/studio/StudioWorkspace.tsx,948,button,,"{""type"": ""\""submit\"""", ""aria-label"": ""\""搜索\""""}"
client/src/studio/StudioWorkspace.tsx,952,button,,"{""type"": ""\""button\"""", ""className"": ""\""studio-notifications\"""", ""aria-label"": ""\""查看任务动态\"""", ""onClick"": ""{() => navigate(\""tasks\"")}""}"
client/src/studio/StudioWorkspace.tsx,961,button,,"{""type"": ""\""button\"""", ""aria-label"": ""\""用户档案\"""", ""className"": ""\""studio-top-avatar\"""", ""onClick"": ""{() => navigate(\""profile\"")}""}"
client/src/studio/StudioWorkspace.tsx,974,Button,重试加载,"{""variant"": ""\""quiet\"""", ""onClick"": ""{refresh}""}"
client/src/studio/StudioWorkspace.tsx,1021,button,,"{""type"": ""\""button\"""", ""aria-label"": ""\""关闭提示\"""", ""onClick"": ""{() => setNotice(\""\"")}""}"
client/src/studio/StudioWorkspace.tsx,1040,Button,,"{""key"": ""{page}"", ""onClick"": ""{() => {\n                    navigate(page);\n                    setNewCreation(false);\n                  }}""}"
client/src/studio/StudioWorkspace.tsx,1052,Button,从空白创作开始,"{""variant"": ""\""quiet\"""", ""onClick"": ""{() => {\n                setState((previous) => ({ ...previous, draft: createDraft() }));\n                navigate(\""workbench\"");\n                setNewCreation(false);\n              }}""}"
client/src/studio/StudioWorkspace.tsx,1101,Button,确认费用并提交,"{""variant"": ""\""primary\"""", ""disabled"": ""true""}"
client/src/studio/StudioWorkspace.tsx,1105,Button,确认费用并提交,"{""variant"": ""\""primary\"""", ""disabled"": ""{videoSubmitting}"", ""onClick"": ""{() => void submitVideoTask()}""}"
client/src/studio/StudioWorkspace.tsx,1113,Button,确认费用并提交,"{""variant"": ""\""primary\"""", ""onClick"": ""{() => void submitOralTask()}""}"
client/src/studio/StudioWorkspace.tsx,1120,Button,进入项目生成流程,"{""onClick"": ""{() => {\n                    setGeneration(undefined);\n                    openLive(\""analysis\"");\n                  }}""}"
client/src/studio/StudioWorkspace.tsx,1138,Button,,"{""key"": ""{id}"", ""onClick"": ""{() => navigate(id as StudioPage)}""}"
client/src/studio/StudioWorkspace.tsx,1146,Button,·,"{""key"": ""{person.id}"", ""onClick"": ""{() =>\n                      navigate(\""person-ip\"", { selectedPersonId: person.id })\n                    }""}"
client/src/studio/StudioWorkspace.tsx,1239,button,,"{""type"": ""\""button\"""", ""aria-label"": ""\""关闭\"""", ""onClick"": ""{onClose}""}"
client/src/studio/StudioWorkspace.tsx,1297,button,,"{""type"": ""\""button\"""", ""key"": ""{item.id}"", ""onClick"": ""{() => select({ ipId: item.id })}""}"
client/src/studio/StudioWorkspace.tsx,1315,button,,"{""type"": ""\""button\"""", ""key"": ""{voice.id}"", ""onClick"": ""{() => select({ voiceId: voice.id })}""}"
client/src/studio/StudioWorkspace.tsx,1329,button,,"{""type"": ""\""button\"""", ""key"": ""{avatar.id}"", ""onClick"": ""{() => select({ avatarId: avatar.id })}""}"
client/src/studio/StudioWorkspace.tsx,1345,button,,"{""type"": ""\""button\"""", ""key"": ""{asset.id}"", ""onClick"": ""{() => {\n                      if (kind === \""avatar-photo\"") {\n                        select({ imageId: asset.id });\n                        navigate(\""person-avatars\"", {\n                          selectedPersonId: person?.id,\n                          returnTo: state.page,\n                        });\n                        notify(\n                          \""已选择单张照片作为制作原料。照片尚不是口播分身，需完成制作后才能使用。\"",\n                        );\n                      } else\n                        select(\n                          kind === \""image\""\n                            ? { imageId: asset.id }\n                            : kind === \""original-frame\""\n                              ? {\n                                  originalImageId: asset.id,\n                                  frameConfirmed: false,\n                                }\n                              : kind === \""first-frame\""\n                                ? { firstFrameId: asset.id }\n                                : kind === \""tail-frame\""\n                                  ? { tailFrameId: asset.id }\n                                  : kind === \""audio\""\n                                    ? { audioId: asset.id, voiceId: undefined }\n                                    : {\n                                        referenceIds: [\n                                          ...new Set([\n                                            ...state.draft.referenceIds,\n                                            asset.id,\n                                          ]),\n                                        ],\n                                      },\n                        );\n                    }}""}"
client/src/studio/StudioWorkspace.tsx,1403,Button,前往人物库,"{""onClick"": ""{() => {\n                onClose();\n                navigate(\n                  kind === \""voice\""\n                    ? \""person-voices\""\n                    : kind === \""avatar\""\n                      ? \""person-avatars\""\n                      : \""people\"",\n                  { selectedPersonId: person?.id, returnTo: state.page },\n                );\n              }}""}"
client/src/studio/ui.tsx,84,button,,"{""type"": ""\""button\"""", ""className"": ""{`studio-button studio-button--${variant} ${className}`}""}"
client/src/studio/ui.tsx,159,button,,"{""key"": ""{item.id}"", ""id"": ""{`${id}-${item.id}`}"", ""type"": ""\""button\"""", ""role"": ""\""tab\"""", ""aria-selected"": ""{value === item.id}"", ""className"": ""{value === item.id ? \""is-active\"" : \""\""}"", ""onClick"": ""{() => onChange(item.id)}""}"
client/src/studio/ui.tsx,213,button,：,"{""type"": ""\""button\"""", ""className"": ""{`studio-filter-select-trigger${\n          value === items[0].id ? \""\"" : \"" is-active\""\n        }`}"", ""aria-haspopup"": ""\""listbox\"""", ""aria-expanded"": ""{open}"", ""onClick"": ""{() => setOpen((current) => !current)}""}"
client/src/studio/ui.tsx,232,button,,"{""key"": ""{item.id}"", ""type"": ""\""button\"""", ""role"": ""\""option\"""", ""aria-selected"": ""{item.id === value}"", ""onClick"": ""{() => {\n                setOpen(false);\n                onChange(item.id);\n              }}""}"
